.model_id;.model_desc;.key;.index;.value;.conf_lo;.conf_hi
1;UPDATE: ARIMA(3,1,2);prediction;2021-03-15;766,228420783850;-104,3287646962336;1636,78560626393
1;UPDATE: ARIMA(3,1,2);prediction;2021-03-22;757,644708015337;-112,9124774647466;1628,20189349542
1;UPDATE: ARIMA(3,1,2);prediction;2021-03-29;825,179097861607;-45,3780876184760;1695,73628334169
1;UPDATE: ARIMA(3,1,2);prediction;2021-04-05;749,785685243463;-120,7715002366199;1620,34287072355
2;UPDATE: ARIMA(0,1,3)(1,0,1)[13] W/ XGBOOST ERRORS;prediction;2021-03-15;747,607561644129;-126,1885665090811;1621,40368979734
2;UPDATE: ARIMA(0,1,3)(1,0,1)[13] W/ XGBOOST ERRORS;prediction;2021-03-22;789,172771985465;-84,6233561677451;1662,96890013867
2;UPDATE: ARIMA(0,1,3)(1,0,1)[13] W/ XGBOOST ERRORS;prediction;2021-03-29;704,334054933928;-169,4620732192819;1578,13018308714
2;UPDATE: ARIMA(0,1,3)(1,0,1)[13] W/ XGBOOST ERRORS;prediction;2021-04-05;993,095356958014;119,2992288048039;1866,89148511122
3;ETS(M,AD,M);prediction;2021-03-15;651,866951486463;-231,7027845435576;1535,43668751648
3;ETS(M,AD,M);prediction;2021-03-22;1030,401940428825;146,8322043988045;1913,97167645885
3;ETS(M,AD,M);prediction;2021-03-29;965,163643842018;81,5939078119975;1848,73337987204
3;ETS(M,AD,M);prediction;2021-04-05;836,350758491673;-47,2189775383478;1719,92049452169
4;PROPHET;prediction;2021-03-15;610,122274258858;-104,9909615803799;1325,23551009810
4;PROPHET;prediction;2021-03-22;591,210497765041;-123,9027380741971;1306,32373360428
4;PROPHET;prediction;2021-03-29;614,693743783586;-100,4194920556521;1329,80697962282
4;PROPHET;prediction;2021-04-05;656,616612912793;-58,4966229264450;1371,72984875203
5;LM;prediction;2021-03-15;628,457288985981;-136,0644024583551;1392,97898043032
5;LM;prediction;2021-03-22;629,871077222110;-134,6506142222254;1394,39276866645
5;LM;prediction;2021-03-29;631,284865458240;-133,2368259860953;1395,80655690258
5;LM;prediction;2021-04-05;633,367112277720;-131,1545791666156;1397,88880372206
6;EARTH;prediction;2021-03-15;814,442783674379;38,4579457660567;1590,42762158270
6;EARTH;prediction;2021-03-22;819,294942927963;43,3101050196411;1595,27978083629
6;EARTH;prediction;2021-03-29;824,147102181546;48,1622642732237;1600,13194008987
6;EARTH;prediction;2021-04-05;828,999261435129;53,0144235268064;1604,98409934345
